Project,Test,assertion_roulette,conditional_test_logic,eager_test,fire_and_forget,indirect_testing,mystery_guest,resource_optimism,test_run_war,num_asserts,test_length
activiti-activiti,org.activiti.spring.boot.RuntimeConfigurationTest#validatingConfigurationForAdmin,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeStandaloneTaskTest#aCreateStandaloneTaskForSalaboy,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,15.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeStandaloneTaskTest#bCreateStandaloneTaskForGroup,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,16.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeStandaloneTaskTest#cCleanUpWithAdmin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest#aCreateStandaloneTaskAndDelete,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,11.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest#cCreateStandaloneGroupTaskClaimAndDeleteFail,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest#dClaimTaskCreatedForGroup,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest#eClaimTaskCreatedForGroup,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest#fCleanUpWithAdmin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeTaskForOtherTest#aCreateStandaloneTaskWithNoCandidates,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeTaskForOtherTest#bCheckThatTaskIsNotVisibleForNonCandidateUsers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeTaskForOtherTest#cCleanUpWithAdmin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeTest#getProcessInstances,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,49.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeTest#shouldGetProcessDefinitionFromDefinitionKey,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeTest#shouldGetAvailableProcessDefinitionForTheGivenUser,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeTest#adminFailTest,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeTest#createProcessInstanceAndValidateDiscardPath,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeTest#userFailTest,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeTest#createProcessInstanceAndValidateHappyPath,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeTest#shouldGetConfiguration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeTest#deleteProcessInstance,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeUnAuthorizedTest#aCreateStandaloneTaskForGroup,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeUnAuthorizedTest#bClaimNotFoundBecauseYouAreNotACandidate,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeUnAuthorizedTest#cCleanUpWithAdmin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeSecurityPoliciesTest#getRestrictedProcessDefs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
activiti-activiti,org.activiti.spring.boot.process.ProcessRuntimeSecurityPoliciesTest#getAllProcessDefsForAdmin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest#aCreateStandaloneTaskAndComplete,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,11.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest#bCreateStandaloneTask,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest#ctryCompletingWithUnauthorizedUser,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
activiti-activiti,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest#dCleanUpWithAdmin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.runtime.api.impl.TaskRuntimeImplTest#updateShouldThrowExceptionWhenAssigneeIsNotSet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
activiti-activiti,org.activiti.runtime.api.impl.TaskRuntimeImplTest#updateShouldBeAbleToUpdateDescriptionOnly,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0
activiti-activiti,org.activiti.runtime.api.model.impl.APITaskCandidateGroupConverterTest#fromShouldConvertEngineObjectToModelObject,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0
activiti-activiti,org.activiti.runtime.api.model.impl.APITaskCandidateUserConverterTest#fromShouldConvertEngineObjectToModelObject,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0
activiti-activiti,org.activiti.runtime.api.model.impl.APITaskConverterTest#calculateStatusForAnAssignedTaskShouldReturnAssigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
activiti-activiti,org.activiti.runtime.api.model.impl.APITaskConverterTest#convertFromTaskShouldSetAllFieldsInTheConvertedTask,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
activiti-activiti,org.activiti.runtime.api.model.impl.APITaskConverterTest#calculateStatusForASuspendedTaskShouldReturnSuspended,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
activiti-activiti,org.activiti.runtime.api.model.impl.APITaskConverterTest#calculateStatusCreatedAndNotAssignedTaskShouldReturnCreated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
activiti-activiti,org.activiti.runtime.api.model.impl.APITaskConverterTest#calculateStatusForACancelledTaskShouldReturnCancelled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
activiti-activiti,org.activiti.validation.validator.impl.ServiceTaskValidatorTest#executeValidationShouldNotRiseErrorsForServiceTasksSettingOnlyTheImplementation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
activiti-activiti,org.activiti.validation.validator.impl.ServiceTaskValidatorTest#executeValidationShouldRiseErrorsForEmptyServiceTask,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
activiti-activiti,org.activiti.spring.test.expression.callactivity.CallActivityBasedOnSpringBeansExpressionTest#testCallActivityByExpression,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0
activiti-activiti,org.activiti.spring.test.executionListener.TransactionDependentExecutionListenerSpringTest#testCustomPropertiesMapDelegateExpression,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,11.0
activiti-activiti,org.activiti.spring.test.taskassignment.CustomTaskAssignmentTest#testSetAssigneeThroughSpringService,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
activiti-activiti,org.activiti.spring.test.taskassignment.CustomTaskAssignmentTest#testSetCandidateUsersThroughSpringService,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0
activiti-activiti,org.activiti.spring.test.taskassignment.CustomTaskAssignmentTest#testSetCandidateGroupsThroughSpringService,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0
activiti-activiti,org.activiti.spring.test.servicetask.BoundaryErrorEventSpringTest#testCatchErrorThrownByJavaDelegateOnServiceTask,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
activiti-activiti,org.activiti.spring.test.servicetask.ServiceTaskSpringDelegationTest#testExecutionAndTaskListenerDelegationExpression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0
activiti-activiti,org.activiti.spring.test.servicetask.ServiceTaskSpringDelegationTest#testAsyncDelegateExpression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
activiti-activiti,org.activiti.spring.test.servicetask.ServiceTaskSpringDelegationTest#testDelegateExpression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
activiti-activiti,org.activiti.spring.test.servicetask.ServiceTaskSpringDelegationTest#testAsyncMethodExpressionOnSpringBean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
activiti-activiti,org.activiti.spring.test.servicetask.ServiceTaskSpringDelegationTest#testMethodExpressionOnSpringBean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
activiti-activiti,org.activiti.spring.test.fieldinjection.ListenerFieldInjectionTest#testDelegateExpressionListenerFieldInjection,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,23.0
activiti-activiti,org.activiti.spring.test.autodeployment.DefaultAutoDeploymentStrategyTest#testDeployResources,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0
activiti-activiti,org.activiti.spring.test.autodeployment.DefaultAutoDeploymentStrategyTest#testDeployResourcesNoResources,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
activiti-activiti,org.activiti.spring.test.autodeployment.DefaultAutoDeploymentStrategyTest#testHandlesMode,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
activiti-activiti,org.activiti.spring.test.autodeployment.DefaultAutoDeploymentStrategyTest#testDetermineResourceNameWithExceptionFailsGracefully,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.spring.test.expression.SpringLimitedExpressionsTest#testLimitedBeansExposed,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0
activiti-activiti,org.activiti.spring.test.taskListener.TaskListenerSpringTest#testTaskListenerDelegateExpression,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0
activiti-activiti,org.activiti.spring.test.autodeployment.SpringAutoDeployTest#testAutoDeployWithCreateDropOnCleanDb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
activiti-activiti,org.activiti.spring.test.autodeployment.SpringAutoDeployTest#testNoRedeploymentForSpringContainerRestart,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0
activiti-activiti,org.activiti.spring.test.autodeployment.SpringAutoDeployTest#testAutoDeployWithDeploymentModeDefault,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
activiti-activiti,org.activiti.spring.test.autodeployment.SpringAutoDeployTest#testAutoDeployWithDeploymentModeSingleResource,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
activiti-activiti,org.activiti.spring.test.autodeployment.SpringAutoDeployTest#testAutoDeployWithDeploymentModeResourceParentFolder,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
activiti-activiti,org.activiti.spring.test.autodeployment.SpringAutoDeployTest#testResourceRedeploymentAfterProcessDefinitionChange,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,20.0
activiti-activiti,org.activiti.spring.test.autodeployment.SpringAutoDeployTest#testBasicActivitiSpringIntegration,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0
activiti-activiti,org.activiti.spring.test.servicetask.UseActivitiServiceInServiceTaskTest#testRollBackOnException,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0
activiti-activiti,org.activiti.spring.test.servicetask.UseActivitiServiceInServiceTaskTest#testUseInjectedRuntimeServiceInServiceTask,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,21.0
activiti-activiti,org.activiti.spring.test.servicetask.UseActivitiServiceInServiceTaskTest#testUseRuntimeServiceNotInjectedInServiceTask,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,21.0
activiti-activiti,org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest#testDeployResourcesIOExceptionWhenCreatingMapFallsBackToResourceName,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
activiti-activiti,org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest#testDeployResources_NoParent,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0
activiti-activiti,org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest#testDeployResources_Mixed,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0
activiti-activiti,org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest#testDeployResources_Separate,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0
activiti-activiti,org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest#testDeployResources_AllInOne,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0
activiti-activiti,org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest#testDeployResourcesNoResources,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
activiti-activiti,org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest#testDeployResources_Joined,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
activiti-activiti,org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest#testHandlesMode,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
activiti-activiti,org.activiti.spring.test.engine.SpringProcessEngineTest#testGetEngineFromCache,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
activiti-activiti,org.activiti.spring.test.junit4.SpringJunit4Test#simpleProcessTest,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
activiti-activiti,org.activiti.spring.test.email.JndiEmailTest#testEmailUsingJndi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
activiti-activiti,org.activiti.spring.test.taskListener.TaskListenerOnTransactionTest#testOnCompleteCommitted,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0
activiti-activiti,org.activiti.spring.test.taskListener.TaskListenerOnTransactionTest#testOnCompleteCustomPropertiesResolver,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,12.0
activiti-activiti,org.activiti.spring.test.taskListener.TaskListenerOnTransactionTest#testOnCompleteRolledBack,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,28.0
activiti-activiti,org.activiti.spring.test.taskListener.TaskListenerOnTransactionTest#testOnCompleteTransactionalOperation,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,23.0
activiti-activiti,org.activiti.spring.test.taskListener.TaskListenerOnTransactionTest#testOnCompleteExecutionVariables,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,18.0
activiti-activiti,org.activiti.spring.test.jobexecutor.SpringAsyncExecutorTest#testHappyJobExecutorPath,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
activiti-activiti,org.activiti.spring.test.jobexecutor.SpringAsyncExecutorTest#testRollbackJobExecutorPath,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
activiti-activiti,org.activiti.spring.test.transaction.SpringTransactionIntegrationTest#testRollbackTransactionOnActivitiException,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0
activiti-activiti,org.activiti.spring.test.transaction.SpringTransactionIntegrationTest#testBasicActivitiSpringIntegration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
activiti-activiti,org.activiti.spring.test.transaction.SpringTransactionIntegrationTest#testRollBackOnDeployment,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
activiti-activiti,org.activiti.spring.test.autodeployment.SingleResourceAutoDeploymentStrategyTest#testDeployResources,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0
activiti-activiti,org.activiti.spring.test.autodeployment.SingleResourceAutoDeploymentStrategyTest#testDeployResourcesNoResources,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
activiti-activiti,org.activiti.spring.test.autodeployment.SingleResourceAutoDeploymentStrategyTest#testHandlesMode,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
activiti-activiti,org.activiti.spring.test.executionListener.ExecutionListenerOnTransactionTest#testOnCloseFailureExecutionListenersWithTransactionalOperation,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,21.0
activiti-activiti,org.activiti.spring.test.executionListener.ExecutionListenerOnTransactionTest#testOnCloseFailureExecutionListenersWithRollback,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0
activiti-activiti,org.activiti.spring.test.executionListener.ExecutionListenerOnTransactionTest#testOnClosedExecutionListenersWithRollback,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0
activiti-activiti,org.activiti.spring.test.executionListener.ExecutionListenerOnTransactionTest#testOnClosedExecutionListenersWithCustomPropertiesResolver,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0
activiti-activiti,org.activiti.spring.test.executionListener.ExecutionListenerOnTransactionTest#testOnClosedExecutionListenersWithExecutionVariables,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,17.0
activiti-activiti,org.activiti.spring.test.fieldinjection.ServiceTaskFieldInjectionTest#testDelegateExpressionWithPrototypeBean,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
activiti-activiti,org.activiti.spring.test.fieldinjection.ServiceTaskFieldInjectionTest#testDelegateExpressionWithSingletonBean,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
activiti-activiti,org.activiti.spring.test.jpa.JpaTest#testJpaVariableHappyPath,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,21.0
activiti-activiti,org.activiti.spring.test.jpa.JpaTest#testJpaVariableDisapprovalPath,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,26.0
activiti-activiti,org.activiti.spring.test.taskListener.TransactionDependentTaskListenerSpringTest#testCustomPropertiesMapDelegateExpression,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,11.0
activiti-activiti,org.activiti.editor.language.UserTaskConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.UserTaskConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.CallActivityConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.CallActivityConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.StartEventConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.StartEventConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.ServiceTaskConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.ServiceTaskConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.SubProcessTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.editor.language.FlowNodeInSubProcessConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.editor.language.PoolConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.PoolConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.ValuedDataObjectConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.ValuedDataObjectConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.BoundaryEventConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.BoundaryEventConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.FormPropertiesConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.editor.language.FormPropertiesConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.SimpleConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.SimpleConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.FlowNodeMultipleOutgoingFlowsConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
activiti-activiti,org.activiti.editor.language.NotExecutablePoolConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.NotExecutablePoolConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.CompleteConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.CompleteConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.NotExecutableConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.NotExecutableConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.SubProcessConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.SubProcessConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
activiti-activiti,org.activiti.editor.language.ScopedConverterTest#doubleConversionValidation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
activiti-activiti,org.activiti.editor.language.ScopedConverterTest#convertJsonToModel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
